Amanvillers;2154
Ars-Laquenexy;938
Ars-sur-Moselle;4645
Augny;2127
Le Ban-Saint-Martin;4637
Châtel-Saint-Germain;1869
Chesny;557
Chieulles;413
Coin-lès-Cuvry;817
Coin-sur-Seille;334
Cuvry;1040
Féy;741
Gravelotte;813
Jury;1383
Jussy;458
Laquenexy;1254
Lessy;794
Longeville-lès-Metz;4017
Lorry-lès-Metz;1726
Lorry-Mardigny;678
Marieulles;699
Marly;9937
La Maxe;1058
Mécleuves;1201
Metz;121695
Mey;308
Montigny-lès-Metz;21869
Moulins-lès-Metz;5161
Noisseville;1103
Nouilly;718
Peltre;1803
Plappeville;2025
Pouilly;927
Pournoy-la-Chétive;613
Roncourt;1048
Rozérieulles;1330
Saint-Julien-lès-Metz;3562
Saint-Privat-la-Montagne;1873
Sainte-Ruffine;605
Saulny;1572
Scy-Chazelles;2665
Vantoux;818
Vany;473
Vaux;786
Vernéville;676
Woippy;14394
