Acigné;6911
Bécherel;685
Betton;12775
Bourgbarré;4692
Brécé;2185
Bruz;19667
Cesson-Sévigné;18076
Chantepie;10378
La Chapelle-Chaussée;1299
La Chapelle-des-Fougeretz;4603
La Chapelle-Thouarault;2266
Chartres-de-Bretagne;8678
Chavagne;4562
Chevaigné;2396
Cintré;2614
Clayes;941
Corps-Nuds;3555
Gévezé;5987
L'Hermitage;4683
Laillé;5154
Langan;1090
Miniac-sous-Bécherel;788
Montgermont;3777
Mordelles;7831
Nouvoitou;3732
Noyal-Châtillon-sur-Seiche;7995
Orgères;5602
Pacé;11815
Parthenay-de-Bretagne;1802
Rennes;227830
Le Rheu;9823
Romillé;4154
Saint-Armel;2344
Saint-Erblon;3615
Saint-Gilles;5489
Saint-Grégoire;9992
Saint-Jacques-de-la-Lande;13593
Saint-Sulpice-la-Forêt;1557
Thorigné-Fouillard;8631
Le Verger;1404
Vern-sur-Seiche;8272
Vezin-le-Coquet;6441
Pont-Péan;4289
