Achenheim;2570
Bischheim;18289
Blaesheim;1408
Breuschwickersheim;1345
Eckbolsheim;7237
Eckwersheim;1428
Entzheim;2545
Eschau;5847
Fegersheim;5769
Geispolsheim;7759
Hangenbieten;1788
Hœnheim;11413
Holtzheim;3890
Illkirch-Graffenstaden;27339
Kolbsheim;997
Lampertheim;3475
Lingolsheim;20683
Lipsheim;2692
Mittelhausbergen;2075
Mundolsheim;5236
Niederhausbergen;1697
Oberhausbergen;5652
Oberschaeffolsheim;2578
Osthoffen;809
Ostwald;13492
Plobsheim;4471
Reichstett;4554
Schiltigheim;34382
Souffelweyersheim;8182
Strasbourg;291709
Vendenheim;6005
La Wantzenau;5879
Wolfisheim;4191
